slug,contract_address
agarthadao,0xa5b0f5ef809fd04c9d4320211c711cb34ef812dd
arena-dex,0xb8d7710f7d8349a506b75dd184f05777c82dad0c
arena-socialfi,0xb8d7710f7d8349a506b75dd184f05777c82dad0c
axial,0xcF8419A615c57511807236751c0AF38Db4ba3351
baguette,0xa1144a6a1304bd9cbb16c800f7a867508726566e
baklava-space,0xe19A1684873faB5Fb694CfD06607100A632fF21c
benqi-lending,0x8729438eb15e2c8b576fcc6aecda6a148776c0f5
benqi-staked-avax,0x8729438eb15e2c8b576fcc6aecda6a148776c0f5
blizz-finance,0x0f34919404a290e71fc6a510cb4a6acb8d764b24
blizzard,0xb147656604217a03fe2c73c4838770df8d9d21b8
boofinance,0xb00f1ad977a949a3ccc389ca1d1282a2946963b0
colony,0xec3492a2508DDf4FDc0cD76F31f340b30d1793e6
complus-network,0x3711c397b6c8f7173391361e27e67d72f252caad
defrost,0x47EB6F7525C1aA999FBC9ee92715F5231eB1241D
echidna-finance,0xeb8343D5284CaEc921F035207ca94DB6BAaaCBcd
elasticswap,0x75739a693459f33B1FBcC02099eea3eBCF150cBe
embr-finance,0xD81D45E7635400dDD9c028839e9a9eF479006B28
flair-dex,0x107D2b7C619202D994a4d044c762Dd6F8e0c5326
