slug,peak_tvl,current_tvl,drawdown_from_peak,tvl_30d_change,tvl_90d_change,volatility,lifespan_days,consecutive_decline_days,data_points,label,name,category,avax_only
benqi-staked-avax,625812927.0,199478613.0,0.6812488135132434,-0.2387753133103595,-0.4752426382387554,0.593072692581075,1468,92,1470,alive,Benqi Staked Avax,Liquid Staking,True
benqi-lending,52942339.0,33173.0,0.9993734126480509,-0.3361216730038023,-0.5159270986852665,2.0505041847594483,1649,816,1651,alive,Benqi Lending,Lending,True
avant-avusd,135585614.0,110344124.0,0.1861664320817989,-0.016627166720299805,0.25908074042362206,0.20087296891677617,278,57,280,alive,Avant avUSD,Basis Trading,True
blackhole-clmm,158077917.0,45052175.0,0.715000198288291,-0.38824848561811104,-0.266251719074529,0.3472860770902601,229,110,231,alive,Blackhole CLMM,Dexs,True
pharaoh-v3,54716193.0,27287291.0,0.5012940501909554,-0.1606284929540704,-0.37012127072882356,0.36428657157011834,134,55,136,alive,Pharaoh V3,Dexs,True
xsy,37989380.0,20969298.0,0.4480221051251692,-0.001508929008482839,-0.0006004699860803822,0.29014270242036255,267,112,266,alive,XSY,Basis Trading,True
hypha,89655261.0,20250295.0,0.7741315481754049,-0.3025524313613995,-0.4357865680605033,0.6323357923631867,970,247,972,alive,Hypha,Liquid Staking,True
keyring,22362938.0,6224146.0,0.721675837047887,-0.012428916870819106,-0.016841871816836152,0.5558062478652716,208,61,210,alive,Keyring,Risk Curators,True
blackhole-amm,159490327.0,6188615.0,0.9611975527518982,-0.5518897718015098,-0.6815094496539101,0.8571800091789531,229,121,231,alive,Blackhole AMM,Dexs,True
avant-avbtc,33660779.0,5892714.0,0.8249382760868369,-0.30675931185034216,-0.6761037547068364,0.4886900448330952,251,68,253,alive,Avant avBTC,Onchain Capital Allocator,True
pharaoh-cl,59821759.0,5836584.0,0.9024337616016941,-0.04152651327482458,-0.18283152139671963,0.8320053775803363,802,125,804,alive,Pharaoh CL,Dexs,True
sierra-protocol,4285585.0,3756259.0,0.12351312597930038,-0.12344969145511281,-0.12344969145511281,0.036514707879800684,21,8,23,alive,Sierra Protocol,Yield,True
pharaoh-legacy,6381380.0,457203.0,0.9283535849612466,-0.22425883602515878,-0.6991160459508692,0.8784657280565004,714,196,716,alive,Pharaoh Legacy,Dexs,True
joe-lend,11470102.0,595549.0,0.9480781426355233,-0.11173720964224883,-0.13679523545176386,0.7705920213646282,1242,617,1244,alive,Joe Lend,Lending,True
arena-dex,10484947.0,1880130.0,0.8206829276294864,-0.2985418148145108,-0.5408727839803117,0.4758656923180995,295,96,297,alive,Arena DEX,Dexs,True
stable-jack-v1,12208969.0,1512012.0,0.8761556360737749,-0.34009943812918053,-0.4778437757924654,0.39621238267191755,610,237,612,alive,Stable Jack V1,Yield,True
suzaku,10318227.0,1388972.0,0.8653865630209531,-0.3493866362635237,-0.6576130804698853,0.4666490161474233,512,96,514,alive,Suzaku,Restaking,True
pumpspace,904489.0,446677.0,0.5061554092974044,6.626135354777027,3.9820205670436546,1.1137615805312666,110,9,112,alive,PumpSpace,Dexs,True
pharaoh-v3-legacy,8048425.0,793729.0,0.9013808291684398,-0.24950596155482646,-0.5482614099949006,0.7835554456233408,134,64,136,alive,Pharaoh V3 Legacy,Dexs,True
aquabank,865034.0,713303.0,0.17540466617497116,0.021404555842578856,-0.16172908712069128,0.05322824371720429,110,48,112,alive,AquaBank,Yield,True
