slug,gecko_id
0.exchange,zero-exchange
0x-nodes,bios
88mph,88mph
aave-v2,aave
acryptos,acryptos
agarthadao,clavis
anchor,anchor-protocol
angle,angle-protocol
ankr,ankr
antfarm-finance,antfarm-governance-token
antimatter,antimatter
apexswap,apex-foundation
arable-protocol,arable-protocol
arrow-markets,arrow-token
atlantis-loans,atlantis-loans
augmented-finance,augmented-finance
aura,aura-finance
autofarm,auto
avalaunch,avalaunch
avalps,blanc
avaware,avaware
axial,axial-token
baguette,baguette
baklava-space,baklava
beefy,beefy-finance
benqi-lending,benqi
betswirl,betswirl
bifi,bifi
bim,bim-2
blizz-finance,blizz-finance
blizzard,blizzard-network
boofinance,boo-finance
brokkr-finance,brokkr
butterfly-finance,butterfly-protocol-2
bxh,bxh
cakedao,cake
canary,canary
chaingpt,chaingpt
champion-finance,victory
chikn-farm,chikn-egg
coinscope,coinscope
colony,colony
complus-network,complus-network
cook-finance,cook
core-bridge,coredaoorg
cougarswap,cougar-token
crabada,crabada
cryptoblades,cryptoblades
cycle-finance,cycle-token
defi-yield-protocol,defi-yield-protocol
defrost,defrost-finance
deltaprime,prime-2
dexpad,dexpad
domani-protocol,dextf
dxsale,dxsale-network
dypius,dypius
echidna-finance,echidna
elasticswap,elasticswap
elk,elk-finance
embr-finance,embr
emdx,emdx
emiswap,emiswap
etha-lend,etha-lend
everestdao,everest-token
flair-dex,flair-dex
flokifi-locker,floki
fortress,fortressdao
freebie-life-finance,freebie-life-finance
frost-finance,tundra-token
frozen-walrus-finance,walrus
futureswap,futureswap
gaia-dao,gaia-dao
gaj-finance,gaj
galaxygoogle-dao,galaxygoogle-dao
gamma,gamma-strategies
genius,genius
gmd-protocol,gmd-protocol
gondola-finance,gondola-finance
granary-finance,granary
grape-finance,grape-finance
grim-finance,grimtoken
gro,gro-dao-token
growth-defi,growth-defi
gyroscope-protocol,gyroscope-gyd
hakuswap,hakuswap
hashflow,hashflow
hermes-finance,hermes
honeyfarm,honeybee
hurricaneswap,hurricaneswap-token
hypha,gogopool
ice-dao,ice-dao
icecream-finance,icecream-finance
impossible-finance,idia
insurace,insurace
iron-bank,iron-bank
iron-finance,iron-stablecoin
jarvis-network,jarvis-reward-token
kalmy-app,kalmar
kandyland-finance,kandy
karma-dao,karma-dao
kassandra-dao,kassandra
kewl-exchange,kewl-exchange
kine-finance,kine-protocol
kitty-finance,kitty-finance
lama-miner,lama
life-dao,life-dao
louverture,louverture
lydia,lydia-finance
magic-square,magic-square
magnet-dao,magnet-dao
marginswap,marginswap
maximizer,maximizer
midasdao,midasdao
mintswap,mintswap
moremoney,more-token
mozaic,mozaic
mushrooms-finance,mm-token
nereus-finance,wirex
noaharkdao,noahark
nord-finance,nord-finance
north-pole,north
oddz,oddz
oh-finance,oh-finance
olive-cash,olivecash
onx-finance,onx-finance
openocean,openocean
orcadao,orcadao
ordernchaos,chaos
papa-dao,papa-dao
partyswap,party-v2
pendle,pendle
penguin-finance,penguin-finance
phuture,phuture
piggy-finance,piggy-finance
piggybank-dao,piggy-bank
pinksale,pinksale
piratedao,piratedao
platypus-finance,platypus-finance
projectx,project-x-nodes
qidao,qi-dao
r-u-generous,r-u-generous
radioshack,radioshack
ragnarokdao,ragnarokdao
ramp,ramp
revest-finance,revest-finance
ripae,ripae
salvor,salvor
sherpa-cash,sherpa
sierra,sierra
singular-farm,sing-token
smartcoin,smartcoin-2
snowball,snowball-token
snowbank,snowbank
snowdog,snowdog
snowtomb,snowtomb
snowyowl,snowy-owl
soulswap,soul-swap
spice-trade,spice-trade
spiritdao,spiritdao-ghost
stabilize,stabilize-token
stake-dao,stake-dao
stonedefi,stone-token
stormswap,storm-token
sushiswap,sushi
suzaku,suzaku-token
swapsicle-v1,swapsicle-pops
swift-finance,swift-finance
tarot,tarot-2
team-finance,trustswap
teddy-cash,teddy
tempodao,tempo-dao
the-dragons-lair,dragon-egg
the-ennead-farm,the-ennead
thetanuts-finance,thetanuts-finance
thor-financial,thor
thorchain-dex,thorchain
thorusfi,thorus
topshelf,topshelf-finance
tornadao,tornadao
tornado-cash,tornado-cash
tranche-finance,tranche-finance
treehouse-protocol,treehouse
umami-finance,umami-finance
unifi,unifi-protocol-dao
vaporfi,vapornodes
vector-finance,vector-finance
vee-finance,vee-finance
vertex-perps,vertex-protocol
vesper,vesper-finance
vikingsfinance,vikings-finance
volta-club,volta-club
vortex-dao,vortex-dao
waterfall-defi,waterfall-governance-token
whaleswap,whaleswap
wolf-safe-poor-people,wolfsafepoorpeople
wombat-exchange,wombat-exchange
wowswap,wowswap
xave-finance,xave-token
xdollar,xdollar
xsy,unity-2
yel-finance,yel-finance
yeti-finance,yeti-finance
yetiswap,yetiswap
yield-yak-aggregator,yield-yak
zabu-finance,zabu-token
zerobase-cedefi,zerobase
zeroswap,zeroswap
zookeeper,zookeeper
