name,category,tvl_usd,num_chains,avax_only,slug
Binance CEX,CEX,134378816698.05032,32,False,binance-cex
Aave V3,Lending,25143080097.922592,20,False,aave-v3
OKX,CEX,16950864551.217577,19,False,okx
Bitfinex,CEX,16504469018.1819,20,False,bitfinex
Bybit,CEX,14633859417.506557,35,False,bybit
Robinhood,CEX,11431948765.376968,4,False,robinhood
Bitget,CEX,5712653753.430194,23,False,bitget
HTX,CEX,5420041530.69636,19,False,htx
Gate,CEX,4594946158.677206,110,False,gate
MEXC,CEX,4416576716.0019455,15,False,mexc
Tether Gold,RWA,3704860271.9552383,8,False,tether-gold
KuCoin,CEX,2947835217.298806,23,False,kucoin
BlackRock BUIDL,RWA,2462896147.6504493,8,False,blackrock-buidl
Pendle,Yield,2277133745.3179574,11,False,pendle
Crypto-com,CEX,2104051267.551074,8,False,crypto-com
Curve DEX,Dexs,1858635062.2138014,30,False,curve-dex
Spark Liquidity Layer,Onchain Capital Allocator,1780527779.8182218,6,False,spark-liquidity-layer
Uniswap V3,Dexs,1480845077.5278234,41,False,uniswap-v3
HashKey Exchange,CEX,1396047855.5804992,13,False,hashkey-exchange
Centrifuge Protocol,RWA,1350793808.6374059,9,False,centrifuge-protocol
Spark Savings,Yield,1284506778.9571579,6,False,spark-savings
Portal,Bridge,1245239821.6690986,24,False,portal
Bitkub,CEX,1168507510.2147892,22,False,bitkub
Bitstamp,CEX,1072458633.1628954,10,False,bitstamp
Uniswap V2,Dexs,844078753.2030617,12,False,uniswap-v2
SwissBorg,CEX,820301780.1800936,28,False,swissborg
SolvBTC,Bridge,641515183.5849524,11,False,solvbtc
Uniswap V4,Dexs,617228841.8684316,15,False,uniswap-v4
OSL HK,CEX,568367569.1149482,12,False,osl-hk
Euler V2,Lending,501334676.6838982,16,False,euler-v2
Tornado Cash,Privacy,462015997.91095126,8,False,tornado-cash
Indodax,CEX,385932267.1251871,17,False,indodax
Phemex,CEX,346901100.69466543,16,False,phemex
Nexo,CEX,341005931.1767291,7,False,nexo
Backpack,CEX,319235622.43200105,16,False,backpack
MEV Capital,Risk Curators,306421081.3126577,11,False,mev-capital
Upshift,Onchain Capital Allocator,303451306.47131544,11,False,upshift
GMX V2 Perps,Derivatives,246519891.57879114,3,False,gmx-v2-perps
K3 Capital,Risk Curators,242165807.37496045,7,False,k3-capital
Multipli.fi,Yield,232379262.5082659,4,False,multipli.fi
Benqi Staked Avax,Liquid Staking,199189785.3484579,1,True,benqi-staked-avax
Connext,Bridge,182148071.11036634,20,False,connext
VALR,CEX,176806549.590894,7,False,valr
PinkSale,Launchpad,168036459.65198588,6,False,pinksale
Treehouse Protocol,DOR,148778388.3030563,3,False,treehouse-protocol
Stake DAO,Yield,144526125.97842327,10,False,stake-dao
Beefy,Yield Aggregator,138660544.7010144,40,False,beefy
Axelar,Bridge,136313298.89835006,44,False,axelar
Benqi Lending,Lending,135075306.31723237,1,True,benqi-lending
CoinDCX,CEX,130350852.02107826,13,False,coindcx
Aave V2,Lending,128400452.29868121,3,False,aave-v2
BloFin,CEX,124909150.41652776,21,False,blofin
Stargate V2,Cross Chain Bridge,121520966.06226268,24,False,stargate-v2
UNCX Network V2,Token Locker,116053798.11990093,7,False,uncx-network-v2
Avant avUSD,Basis Trading,110344124.1656371,1,True,avant-avusd
Homora V2,Leveraged Farming,110273717.07445696,5,False,homora-v2
Aura,Yield,106721087.07122217,9,False,aura
Lagoon,Onchain Capital Allocator,105167708.26240605,16,False,lagoon
Re7 Labs,Risk Curators,102485081.05190997,15,False,re7-labs
Apollo Diversified Credit Securitize Fund,RWA,95953819.42730662,7,False,apollo-diversified-credit-securitize-fund
Balancer V3,Dexs,94985074.02687241,8,False,balancer-v3
Multichain,Bridge,92697516.74639747,54,False,multichain
KAIO,RWA,89384305.996305,14,False,kaio
Ourbit,CEX,81743438.7266801,8,False,ourbit
VanEck Treasury Fund,RWA,78062586.31,4,False,vaneck-treasury-fund
Balancer V2,Dexs,74319786.67742397,9,False,balancer-v2
SushiSwap V3,Dexs,65485476.46827308,29,False,sushiswap-v3
Thorchain DEX,Dexs,61558970.00572322,12,False,thorchain-dex
SushiSwap,Dexs,61441576.86929007,38,False,sushiswap
ZEROBASE CeDeFi,Basis Trading,55107210.032843,7,False,zerobase-cedefi
Solv Strategies,Onchain Capital Allocator,51645388.15789958,5,False,solv-strategies
cBridge,Bridge,50480652.34815124,29,False,cbridge
Tulipa Capital,Risk Curators,50203503.87218164,8,False,tulipa-capital
Silo V2,Lending,47275230.58149349,4,False,silo-v2
Coin8,CEX,47270140.49742523,9,False,coin8
Flipster,CEX,46404052.626790404,22,False,flipster
Team Finance,Token Locker,45925799.447291456,17,False,team-finance
NEAR Intents,Cross Chain Bridge,45753202.02684205,24,False,near-intents
OSL,CEX,45606446.063002445,14,False,osl
Blackhole CLMM,Dexs,45052175.7748898,1,True,blackhole-clmm
Poly Network,Bridge,44728247.74000001,31,False,poly-network
Brickken,RWA,41081158.048217066,5,False,brickken
IPOR Fusion,Yield Aggregator,39984056.171783,8,False,ipor-fusion
Superform,Yield Aggregator,36136652.54741128,10,False,superform
YieldFi,Yield Aggregator,33276325.698705867,13,False,yieldfi
Vesper,Yield Aggregator,33104068.93916657,5,False,vesper
Pionex,CEX,32003589.74201314,8,False,pionex
Spectra V2,Yield,31471774.908699427,12,False,spectra-v2
Joe V2.2,Dexs,31386076.676309288,3,False,joe-v2.2
vfat.io,Yield Aggregator,30538872.28649701,18,False,vfat.io
Steer Protocol,Liquidity manager,27369395.71659911,42,False,steer-protocol
Pharaoh V3,Dexs,27287291.235263366,1,True,pharaoh-v3
