slug,name,category,avax_peak_tvl,avax_current_tvl,avax_start_tvl,avax_drawdown_from_peak,avax_tvl_30d_change,avax_tvl_90d_change,avax_lifespan_days,avax_consecutive_decline_days,avax_volatility_full,avax_history_days,history_source_mode,has_avax_history,has_total_history,total_history_days,current_avax_core_tvl,current_total_core_tvl,current_non_avax_core_tvl,current_avax_share,active_chain_count_core,data_quality_score_v2,current_status,current_tvl_band_avax,low_tvl_now_avax,migrated_candidate,core_eligible,core_universe_status,boundary_reason
0.exchange,0.exchange,Dexs,62732959.0,22838.0,124.0,0.999635948943521,0.0862782401902497,-0.33150885409044345,1860.0,798.0,4.491762000109836,1575,avax_core,1,1,1575,22838.64698,36646.07817,13807.43119,0.6232221323671319,2.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,
0x-nodes,0x NODES,Yield Aggregator,249472.0,0.0,0.0,1.0,0.0,0.0,1195.0,76.0,2.524414566709426,753,avax_core,1,1,753,0.0,0.0,0.0,0.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
2pi-network,2Pi Network,Yield,0.0,0.0,0.0,0.0,0.0,0.0,1051.0,0.0,0.0,1045,avax_core,1,1,1045,0.0,2390.64543,2390.64543,0.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
40-acres,40 Acres,Lending,6371164.0,4085729.0,1034889.0,0.35871545607678595,0.6849823345599683,-0.046689629136359455,236.0,114.0,0.2803799298229671,237,avax_core,1,1,402,4085729.22062,22868040.79928,18782311.57866,0.1786654683924055,3.0,0.929863,active_on_avax,ge_10k,0.0,0,1,core_eligible,
88mph,88mph,Lending,7117.0,50.0,5990.0,0.9929745679359281,0.0625,-0.32,1604.0,642.0,3.564622700120993,1575,avax_core,1,1,1908,50.66036,392993.28273999994,392942.62237999996,0.00012890897179409637,1.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
aave-v2,Aave V2,Lending,3666600913.0,12200655.0,0.0,0.9966724889647133,0.05373100039469605,-0.21819337921009865,1629.0,853.0,2.3407934220767865,1630,avax_core,1,1,1922,12200655.01153,134104835.11062999,121904180.0991,0.09097848710275847,3.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,
aave-v3,Aave V3,Lending,1406243239.0,414557627.0,1.0,0.7052020479082993,0.020744912362899468,-0.3364061721628707,1455.0,705.0,0.6301337463912138,1456,avax_core,1,1,1456,414557627.26325,26005179017.835552,25590621390.572304,0.015941348720534754,18.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,
abacus,Abacus,Governance Incentives,31223498.0,0.0,1019107.0,1.0,0.0,0.0,559.0,107.0,0.9960274903232642,560,avax_core,1,1,560,0.0,18083.85665,18083.85665,0.0,1.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
aboard-exchange,Aboard Exchange,Derivatives,164297.0,7.0,0.0,0.9999573942311789,0.0,-0.2727272727272727,1388.0,387.0,1.3119187189344794,1389,avax_core,1,1,1389,7.23957,121.41401,114.17444,0.05962713858145365,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
abracadabra-spell,Abracadabra Spell,CDP,684609904.0,47001.0,1191905.0,0.9999313463043328,0.24317604739737622,-0.48425961485708013,1632.0,836.0,3.765493774750611,1625,avax_core,1,1,1729,47001.45142,10809285.53659,10762284.08517,0.004348247741342164,6.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,
acryptos,ACryptoS,Liquidity Manager,369488.0,116206.0,144607.0,0.6854945221495692,0.0018190282423531845,-0.00023229003561780546,1343.0,520.0,0.392419483721225,1344,avax_core,1,1,1817,116206.81467,10564370.498769999,10448163.684099998,0.010999880653895079,5.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,
agarthadao,AgarthaDAO,Reserve Currency,1372264.0,0.0,1302238.0,1.0,0.0,0.0,654.0,15.0,5.543899676836108,617,avax_core,1,1,617,0.0,0.0,0.0,0.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
ajna-v2,Ajna V2,Lending,192.0,109.0,148.0,0.4322916666666667,0.009174311926605505,-0.15384615384615385,305.0,63.0,0.15388824479683366,306,avax_core,1,1,779,109.25109,566934.95327,566825.70218,0.0001927048056745404,2.0,0.967671,low_tvl_on_avax,lt_10k,1.0,1,1,core_eligible,
