slug,name,category,history_source_mode,has_avax_history,has_total_history,avax_history_days,total_history_days,current_avax_core_tvl,current_total_core_tvl,current_non_avax_core_tvl,current_avax_share,active_chain_count_core,data_quality_score_v2,current_status,current_tvl_band_avax,low_tvl_now_avax,migrated_candidate,core_eligible,core_universe_status,boundary_reason,label_confidence_v2,structural_decay_label_v2,structural_decay_target_v2
0.exchange,0.exchange,Dexs,avax_core,1,1,1575,1575,22838.64698,36646.07817,13807.43119,0.6232221323671319,2.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,structural_decay,1.0
0x-nodes,0x NODES,Yield Aggregator,avax_core,1,1,753,753,0.0,0.0,0.0,0.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
2pi-network,2Pi Network,Yield,avax_core,1,1,1045,1045,0.0,2390.64543,2390.64543,0.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
40-acres,40 Acres,Lending,avax_core,1,1,237,402,4085729.22062,22868040.79928,18782311.57866,0.1786654683924055,3.0,0.929863,active_on_avax,ge_10k,0.0,0,1,core_eligible,,0.929863,censored,
88mph,88mph,Lending,avax_core,1,1,1575,1908,50.66036,392993.28273999994,392942.62237999996,0.00012890897179409637,1.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
aave-v2,Aave V2,Lending,avax_core,1,1,1630,1922,12200655.01153,134104835.11062999,121904180.0991,0.09097848710275847,3.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,structural_decay,1.0
aave-v3,Aave V3,Lending,avax_core,1,1,1456,1456,414557627.26325,26005179017.835552,25590621390.572304,0.015941348720534754,18.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,resilient_or_unproven,0.0
abacus,Abacus,Governance Incentives,avax_core,1,1,560,560,0.0,18083.85665,18083.85665,0.0,1.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
aboard-exchange,Aboard Exchange,Derivatives,avax_core,1,1,1389,1389,7.23957,121.41401,114.17444,0.05962713858145365,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,resilient_or_unproven,0.0
abracadabra-spell,Abracadabra Spell,CDP,avax_core,1,1,1625,1729,47001.45142,10809285.53659,10762284.08517,0.004348247741342164,6.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,structural_decay,1.0
acryptos,ACryptoS,Liquidity Manager,avax_core,1,1,1344,1817,116206.81467,10564370.498769999,10448163.684099998,0.010999880653895079,5.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,resilient_or_unproven,0.0
agarthadao,AgarthaDAO,Reserve Currency,avax_core,1,1,617,617,0.0,0.0,0.0,0.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
ajna-v2,Ajna V2,Lending,avax_core,1,1,306,779,109.25109,566934.95327,566825.70218,0.0001927048056745404,2.0,0.967671,low_tvl_on_avax,lt_10k,1.0,1,1,core_eligible,,0.967671,censored,
alligator,Alligator,Dexs,avax_core,1,1,1501,1501,6834.32627,6834.32627,0.0,1.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
amogus-dao,Amogus DAO,Reserve Currency,avax_core,1,1,1531,1531,44.52094,44.52094,0.0,1.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
anchor,Anchor,Lending,avax_core,1,1,513,848,0.0,0.0,0.0,0.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
angle,Angle,CDP,avax_core,1,1,1109,1587,97.36295,4513471.51062,4513374.14767,2.1571632782196424e-05,3.0,1.0,low_tvl_on_avax,lt_10k,1.0,1,1,core_eligible,,1.0,structural_decay,1.0
ankr,Ankr,Liquid Staking,avax_core,1,1,1447,1927,125023.93651,21392872.001259997,21267848.064749997,0.0058441866292023035,4.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,resilient_or_unproven,0.0
ante-finance,Ante Finance,Insurance,avax_core,1,1,1278,1634,5185.32134,407423.22209,402237.90075,0.012727112886203037,2.0,1.0,low_tvl_on_avax,lt_10k,1.0,1,1,core_eligible,,1.0,structural_decay,1.0
antfarm-finance,Antfarm finance,Liquidity Manager,avax_core,1,1,781,1075,20585.32287,450808.53594000003,430223.21307000006,0.04566311688636655,4.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,resilient_or_unproven,0.0
antimatter,Antimatter,Options,avax_core,1,1,1488,1489,5830.56877,12187.61149,6357.0427199999995,0.47840126630094937,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
aperture-lm,Aperture LM,Liquidity Manager,avax_core,1,1,1238,1442,12726.46322,12726.46322,0.0,1.0,1.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,structural_decay,1.0
apex-defi,Apex DeFi,Dexs,avax_core,1,1,558,558,16767.59776,16881.0273,113.429540000001,0.9932806494543137,1.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,resilient_or_unproven,0.0
apex-pro,ApeX Pro,Derivatives,avax_core,1,1,896,1264,0.0,1430470.27653,1430470.27653,0.0,1.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,resilient_or_unproven,0.0
apexswap,ApexSwap,Dexs,avax_core,1,1,347,347,69.73822,69.73822,0.0,1.0,0.0,0.985205,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,0.985205,censored,
aquabank,AquaBank,Yield,avax_core,1,1,123,123,928364.83235,928364.83235,0.0,1.0,1.0,0.801096,active_on_avax,ge_10k,0.0,0,1,core_eligible,,0.801096,censored,
ara-finance,Ara Finance,Reserve Currency,avax_core,1,1,1534,1534,1488.42811,1488.42811,0.0,1.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
arable-protocol,Arable Protocol,Synthetics,avax_core,1,1,1482,1482,0.0,0.0,0.0,0.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
archly-v2,Archly V2,Dexs,avax_core,1,1,739,808,96.93849,2005.4772400000002,1908.5387500000002,0.04833686868468275,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
arena-dex,Arena DEX,Dexs,avax_core,1,1,308,308,2018456.77533,2018456.77533,0.0,1.0,1.0,0.953151,active_on_avax,ge_10k,0.0,0,1,core_eligible,,0.953151,censored,
arena-launch,Arena Launch,Launchpad,avax_core,1,1,305,305,32771.10499,32771.10499,0.0,1.0,1.0,0.950685,active_on_avax,ge_10k,0.0,0,1,core_eligible,,0.950685,censored,
arena-socialfi,Arena SocialFi,SoFi,avax_core,1,1,894,894,194599.05022,194599.05022,0.0,1.0,1.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,resilient_or_unproven,0.0
arrow-markets,Arrow Markets,Options,avax_core,1,1,579,579,0.0,0.0,0.0,0.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
atlantis-loans,Atlantis Loans,Lending,avax_core,1,1,362,669,2774.83427,2902.30833,127.47406000000001,0.9560783881290793,0.0,0.998356,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,0.998356,censored,
augmented-finance,Augmented Finance,Lending,avax_core,1,1,902,1016,164.84803,326.6517,161.80367,0.5046599481955857,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
aura,Aura,Yield,avax_core,1,1,704,1326,0.0,104295852.65085,104295852.65085,0.0,6.0,1.0,low_tvl_on_avax,lt_10k,1.0,1,1,core_eligible,,1.0,structural_decay,1.0
autofarm,Autofarm,Yield Aggregator,avax_core,1,1,1621,1810,59067.21786,5799888.08656,5740820.8686999995,0.010184199587725777,7.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,structural_decay,1.0
avalaunch,Avalaunch,Dexs,avax_core,1,1,1661,1661,0.0,0.0,0.0,0.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
avalps,Avalps,Reserve Currency,avax_core,1,1,1531,1531,4131.17966,4131.17966,0.0,1.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0
avant-avbtc,Avant avBTC,Onchain Capital Allocator,avax_core,1,1,264,264,6348935.84094,6348935.84094,0.0,1.0,1.0,0.916986,active_on_avax,ge_10k,0.0,0,1,core_eligible,,0.916986,censored,
avant-avusd,Avant avUSD,Basis Trading,avax_core,1,1,291,291,112618657.2759,112618657.2759,0.0,1.0,1.0,0.939178,active_on_avax,ge_10k,0.0,0,1,core_eligible,,0.939178,censored,
