slug,name,category,parent_protocol,gecko_id,chains_count_payload,avax_only,num_chains,old_label,history_source_mode,has_avax_history,has_total_history,avax_history_days,total_history_days,current_avax_core_tvl,current_total_core_tvl,current_non_avax_core_tvl,current_avax_share,active_chain_count_core,data_quality_score_v2,core_eligible,core_universe_status,boundary_reason
0.exchange,0.exchange,Dexs,,zero-exchange,3.0,0,3,alive,avax_core,1,1,1575,1575,22838.64698,36646.07817,13807.43119,0.6232221323671319,2.0,1.0,1,core_eligible,
0x-nodes,0x NODES,Yield Aggregator,,bios,6.0,0,6,dead,avax_core,1,1,753,753,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
2pi-network,2Pi Network,Yield,,,4.0,0,4,dead,avax_core,1,1,1045,1045,0.0,2390.64543,2390.64543,0.0,0.0,1.0,1,core_eligible,
40-acres,40 Acres,Lending,,,3.0,0,3,alive,avax_core,1,1,237,402,4085729.22062,22868040.79928,18782311.57866,0.1786654683924055,3.0,0.929863,1,core_eligible,
88mph,88mph,Lending,,88mph,4.0,0,4,alive,avax_core,1,1,1575,1908,50.66036,392993.28273999994,392942.62237999996,0.00012890897179409637,1.0,1.0,1,core_eligible,
aave-v2,Aave V2,Lending,parent#aave,aave,3.0,0,3,alive,avax_core,1,1,1630,1922,12200655.01153,134104835.11062999,121904180.0991,0.09097848710275847,3.0,1.0,1,core_eligible,
aave-v3,Aave V3,Lending,parent#aave,,20.0,0,20,alive,avax_core,1,1,1456,1456,414557627.26325,26005179017.835552,25590621390.572304,0.015941348720534754,18.0,1.0,1,core_eligible,
abacus,Abacus,Governance Incentives,,,6.0,0,6,alive,avax_core,1,1,560,560,0.0,18083.85665,18083.85665,0.0,1.0,1.0,1,core_eligible,
aboard-exchange,Aboard Exchange,Derivatives,,,8.0,0,8,dead,avax_core,1,1,1389,1389,7.23957,121.41401,114.17444,0.05962713858145365,0.0,1.0,1,core_eligible,
abracadabra-spell,Abracadabra Spell,CDP,parent#abracadabra,,8.0,0,8,alive,avax_core,1,1,1625,1729,47001.45142,10809285.53659,10762284.08517,0.004348247741342164,6.0,1.0,1,core_eligible,
acryptos,ACryptoS,Liquidity Manager,,acryptos,17.0,0,17,alive,avax_core,1,1,1344,1817,116206.81467,10564370.498769999,10448163.684099998,0.010999880653895079,5.0,1.0,1,core_eligible,
