decay_mode,evidence_level,protocol_count
avax_side_decay_but_globally_alive,address_registered,6
avax_side_decay_but_globally_alive,methodology_backed,2
data_incomplete,not_eligible,1
multichain_relocation,methodology_backed,10
multichain_relocation,address_registered,8
native_revival_or_threshold_boundary,address_registered,19
native_revival_or_threshold_boundary,methodology_backed,19
native_revival_or_threshold_boundary,weak_onchain_support,6
native_revival_or_threshold_boundary,onchain_supported,2
native_revival_or_threshold_boundary,threshold_only,2
not_core_eligible,not_eligible,6
resilient_or_unproven,model_only,171
terminal_global_decay,model_only,176
