slug,name,category,history_source_mode,has_avax_history,has_total_history,avax_history_days,total_history_days,current_avax_core_tvl,current_total_core_tvl,current_non_avax_core_tvl,current_avax_share,active_chain_count_core,data_quality_score_v2,current_status,current_tvl_band_avax,low_tvl_now_avax,migrated_candidate,core_eligible,core_universe_status,boundary_reason,label_confidence_v2,structural_decay_label_v2,structural_decay_target_v2,avax_peak_tvl,avax_current_tvl,avax_drawdown_from_peak,avax_tvl_30d_change,avax_tvl_90d_change,avax_consecutive_decline_days,avax_volatility_full,avax_only,num_chains,old_label,launch_date,decay_mode_v2,stage1_terminal_prob,stage1_score_confidence,risk_uncertainty,risk_band,reason_1,reason_2,reason_3,stage2_terminal_mode_prob,stage2_terminal_mode_oof_prob,stage1_terminal_prob_stage1,stage1_score_confidence_stage1,reason_1_stage1,reason_2_stage1,reason_3_stage1,composite_terminal_prob,composite_watch_band
0.exchange,0.exchange,Dexs,avax_core,1,1,1575,1575,22838.64698,36646.07817,13807.43119,0.6232221323671319,2.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,structural_decay,1.0,62732959.0,22838.0,0.999635948943521,0.0862782401902497,-0.3315088540904434,798.0,4.491762000109836,0,3,alive,2021-02-02,native_revival_or_threshold_boundary,0.4653392542789323,0.879662344247996,0.12033765575200393,elevated,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.060592871472193985,0.15449740491721572,0.4653392542789323,0.879662344247996,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.02819624162548994,monitor
0x-nodes,0x NODES,Yield Aggregator,avax_core,1,1,753,753,0.0,0.0,0.0,0.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0,249472.0,0.0,1.0,0.0,0.0,76.0,2.524414566709426,0,6,dead,2022-03-07,terminal_global_decay,0.7245903378869298,0.7900129414959551,0.20998705850404492,critical,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.9972000236322817,0.9826177270769644,0.7245903378869298,0.7900129414959551,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.7225615020645694,terminal_risk
2pi-network,2Pi Network,Yield,avax_core,1,1,1045,1045,0.0,2390.64543,2390.64543,0.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,dead,2022-11-29,terminal_global_decay,0.9908881274077128,0.9894958095010886,0.010504190498911329,critical,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.9996838323353293,0.9993942005356935,0.9908881274077128,0.9894958095010886,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.9905748406225204,terminal_risk
40-acres,40 Acres,Lending,avax_core,1,1,237,402,4085729.22062,22868040.79928,18782311.57866,0.1786654683924055,3.0,0.929863,active_on_avax,ge_10k,0.0,0,1,core_eligible,,0.929863,censored,,6371164.0,4085729.0,0.3587154560767859,0.6849823345599683,-0.0466896291363594,114.0,0.2803799298229671,0,3,alive,2025-07-15,resilient_or_unproven,0.29727678016304854,0.8614837642168375,0.07353689283600119,stable_watch,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.09798970347945452,,0.29727678016304854,0.8614837642168375,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.029130063539504113,monitor
88mph,88mph,Lending,avax_core,1,1,1575,1908,50.66036,392993.28274,392942.62238,0.000128908971794,1.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0,7117.0,50.0,0.992974567935928,0.0625,-0.32,642.0,3.564622700120993,0,4,alive,2021-10-16,terminal_global_decay,0.9775237537481173,0.9694269088396825,0.030573091160317523,critical,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.7453272770537338,0.5701575177347536,0.9775237537481173,0.9694269088396825,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.7285751176364289,terminal_risk
aave-v2,Aave V2,Lending,avax_core,1,1,1630,1922,12200655.01153,134104835.11063,121904180.0991,0.0909784871027584,3.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,structural_decay,1.0,3666600913.0,12200655.0,0.9966724889647132,0.053731000394696,-0.2181933792100986,853.0,2.3407934220767865,0,3,alive,2021-10-05,native_revival_or_threshold_boundary,0.08416281366518125,0.9562782132555545,0.0437217867444455,stable_watch,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.004770585739422377,0.01122940532902157,0.08416281366518125,0.9562782132555545,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.00040150591866077644,monitor
aave-v3,Aave V3,Lending,avax_core,1,1,1456,1456,414557627.26325,26005179017.835552,25590621390.572304,0.0159413487205347,18.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,resilient_or_unproven,0.0,1406243239.0,414557627.0,0.7052020479082993,0.0207449123628994,-0.3364061721628707,705.0,0.6301337463912138,0,20,alive,2022-03-17,resilient_or_unproven,0.05633612824623489,0.923482650800476,0.07651734919952402,stable_watch,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.07467311932789494,,0.05633612824623489,0.923482650800476,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.004206794427002691,monitor
abacus,Abacus,Governance Incentives,avax_core,1,1,560,560,0.0,18083.85665,18083.85665,0.0,1.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0,31223498.0,0.0,1.0,0.0,0.0,107.0,0.9960274903232642,0,6,alive,2024-08-26,terminal_global_decay,0.5107060920441839,0.6443165418566092,0.3556834581433907,elevated,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.8754682993370427,0.7737934548251173,0.5107060920441839,0.6443165418566092,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.4471069938629889,elevated
aboard-exchange,Aboard Exchange,Derivatives,avax_core,1,1,1389,1389,7.23957,121.41401,114.17444,0.0596271385814536,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,resilient_or_unproven,0.0,164297.0,7.0,0.9999573942311788,0.0,-0.2727272727272727,387.0,1.3119187189344794,0,8,dead,2022-09-30,resilient_or_unproven,0.2156657285122485,0.8512894536999128,0.1487105463000872,stable_watch,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.9129515484666813,,0.2156657285122485,0.8512894536999128,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.19689236079645214,monitor
abracadabra-spell,Abracadabra Spell,CDP,avax_core,1,1,1625,1729,47001.45142,10809285.53659,10762284.08517,0.0043482477413421,6.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,structural_decay,1.0,684609904.0,47001.0,0.9999313463043328,0.2431760473973762,-0.4842596148570801,836.0,3.765493774750611,0,8,alive,2021-09-18,native_revival_or_threshold_boundary,0.12854176319128302,0.8932682623287018,0.10673173767129822,stable_watch,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.05267839278407209,0.11811454208184201,0.12854176319128302,0.8932682623287018,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.006771373490547587,monitor
acryptos,ACryptoS,Liquidity Manager,avax_core,1,1,1344,1817,116206.81467,10564370.49877,10448163.684099998,0.010999880653895,5.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,resilient_or_unproven,0.0,369488.0,116206.0,0.6854945221495692,0.0018190282423531,-0.0002322900356178,520.0,0.392419483721225,0,17,alive,2022-07-04,resilient_or_unproven,0.034384799703238135,0.9728346148425534,0.027165385157446646,stable_watch,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.09023440803984,,0.034384799703238135,0.9728346148425534,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.003102692046790159,monitor
agarthadao,AgarthaDAO,Reserve Currency,avax_core,1,1,617,617,0.0,0.0,0.0,0.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0,1372264.0,0.0,1.0,0.0,0.0,15.0,5.543899676836108,1,1,dead,2021-12-27,terminal_global_decay,0.9830448112324338,0.9781529968819802,0.021847003118019778,critical,early drawdown stayed high,active-day density stayed low,peak arrived too early,1.0,0.9997564303858127,0.9830448112324338,0.9781529968819802,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.9830448112324338,terminal_risk
ajna-v2,Ajna V2,Lending,avax_core,1,1,306,779,109.25109,566934.95327,566825.70218,0.0001927048056745,2.0,0.967671,low_tvl_on_avax,lt_10k,1.0,1,1,core_eligible,,0.967671,censored,,192.0,109.0,0.4322916666666667,0.0091743119266055,-0.1538461538461538,63.0,0.1538882447968336,0,13,alive,2025-05-07,resilient_or_unproven,0.5608176756260121,0.5816396503666739,0.3989283027323606,elevated,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.12879779705954408,,0.5608176756260121,0.5816396503666739,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.07223208117268433,monitor
alligator,Alligator,Dexs,avax_core,1,1,1501,1501,6834.32627,6834.32627,0.0,1.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0,1234749.0,6834.0,0.9944652718892666,0.0382804192617347,-0.1833930704898446,763.0,3.4776712063150303,1,1,dead,2022-01-28,terminal_global_decay,0.9086590861819175,0.9336644270203998,0.06633557297960026,critical,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.9763268323701754,0.9683355774020382,0.9086590861819175,0.9336644270203998,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.8871482473163697,terminal_risk
amogus-dao,Amogus DAO,Reserve Currency,avax_core,1,1,1531,1531,44.52094,44.52094,0.0,1.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0,54036.0,44.0,0.9991857280331632,0.0,0.0,158.0,17.40391175171807,1,1,dead,2021-12-29,terminal_global_decay,0.993800279985236,0.9915382263787339,0.00846177362126607,critical,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.9982522893772893,0.9937395105023527,0.993800279985236,0.9915382263787339,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.992063404679053,terminal_risk
anchor,Anchor,Lending,avax_core,1,1,513,848,0.0,0.0,0.0,0.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0,209981703.0,0.0,1.0,0.0,0.0,143.0,3.241942353488063,0,2,dead,2022-03-23,terminal_global_decay,0.7898356210739119,0.8175209154306038,0.1824790845693962,critical,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.9981187534171679,0.9967984431927636,0.7898356210739119,0.8175209154306038,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.7883497455107675,terminal_risk
angle,Angle,CDP,avax_core,1,1,1109,1587,97.36295,4513471.51062,4513374.14767,2.1571632782196424e-05,3.0,1.0,low_tvl_on_avax,lt_10k,1.0,1,1,core_eligible,,1.0,structural_decay,1.0,102942.0,97.0,0.9990577218239396,0.0103092783505154,-0.0485436893203883,303.0,8.52300866001767,0,8,alive,2023-02-24,multichain_relocation,0.879035872315514,0.9485603740870187,0.05143962591298138,critical,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.2598347454485123,0.44674970980614337,0.879035872315514,0.9485603740870187,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.22840406212321257,monitor
ankr,Ankr,Liquid Staking,avax_core,1,1,1447,1927,125023.93651,21392872.00126,21267848.06475,0.0058441866292023,4.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,resilient_or_unproven,0.0,1863867.0,125023.0,0.9329227890187444,0.0728266559118563,-0.3637196425299758,340.0,0.6454735145959201,0,8,alive,2022-03-16,resilient_or_unproven,0.21910007519172703,0.8552741866235316,0.14472581337646837,stable_watch,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.0848863423026783,,0.21910007519172703,0.8552741866235316,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.018598603981267496,monitor
ante-finance,Ante Finance,Insurance,avax_core,1,1,1278,1634,5185.32134,407423.22209,402237.90075,0.012727112886203,2.0,1.0,low_tvl_on_avax,lt_10k,1.0,1,1,core_eligible,,1.0,structural_decay,1.0,36192.0,5185.0,0.8567362953138815,0.1247018000433745,-0.3376756066411239,384.0,0.512795335107004,0,8,alive,2022-09-08,multichain_relocation,0.5212551927733013,0.6293371984295942,0.37066280157040576,elevated,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.08681309142335031,0.13379431634897163,0.5212551927733013,0.6293371984295942,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.045251774705124696,monitor
antfarm-finance,Antfarm finance,Liquidity Manager,avax_core,1,1,781,1075,20585.32287,450808.53594,430223.21307000006,0.0456631168863665,4.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,resilient_or_unproven,0.0,733662.0,20585.0,0.9719421204860004,0.0778574794491858,-0.7657114242141443,394.0,0.5655010387541806,0,4,alive,2024-01-18,resilient_or_unproven,0.17610640030406582,0.8247245543904282,0.17527544560957173,stable_watch,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.06180015373173958,,0.17610640030406582,0.8247245543904282,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.010883402611934538,monitor
antimatter,Antimatter,Options,avax_core,1,1,1488,1489,5830.56877,12187.61149,6357.04272,0.4784012663009493,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,structural_decay,1.0,46638.0,5830.0,0.8749946395643038,0.0818181818181818,-0.3426896629466802,377.0,0.5277312245083783,0,5,alive,2022-02-10,terminal_global_decay,0.7607738450837247,0.8346529032681286,0.1653470967318714,critical,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.8855231056881679,0.8220494094976045,0.7607738450837247,0.8346529032681286,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.6736828180248691,terminal_risk
aperture-lm,Aperture LM,Liquidity Manager,avax_core,1,1,1238,1442,12726.46322,12726.46322,0.0,1.0,1.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,structural_decay,1.0,3637993.0,12726.0,0.9965019174033596,0.0224953804129509,-0.0590018484288354,599.0,3.136452800244238,0,2,alive,2022-10-18,native_revival_or_threshold_boundary,0.1295161507004642,0.9223543676643652,0.0776456323356348,stable_watch,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.05300490863345511,0.11867329325309942,0.1295161507004642,0.9223543676643652,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.006864991734434909,monitor
apex-defi,Apex DeFi,Dexs,avax_core,1,1,558,558,16767.59776,16881.0273,113.429540000001,0.9932806494543136,1.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,,1.0,resilient_or_unproven,0.0,363254.0,16767.0,0.9538422150891662,-0.1154251951888584,-0.485801901257283,229.0,0.5917248120515256,0,3,alive,2024-08-28,resilient_or_unproven,0.06483341423976477,0.9598137564330114,0.040186243566988675,stable_watch,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.20533755164065665,,0.06483341423976477,0.9598137564330114,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.013312734544497782,monitor
apex-pro,ApeX Pro,Derivatives,avax_core,1,1,896,1264,0.0,1430470.27653,1430470.27653,0.0,1.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,1.0,resilient_or_unproven,0.0,428840.0,0.0,1.0,0.0,0.0,47.0,1.0496557206901174,0,7,alive,2023-09-25,resilient_or_unproven,0.39132382268809535,0.7226974385176522,0.2773025614823478,stable_watch,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.5531887813661838,,0.39132382268809535,0.7226974385176522,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.21647594859238403,monitor
apexswap,ApexSwap,Dexs,avax_core,1,1,347,347,69.73822,69.73822,0.0,1.0,0.0,0.985205,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,,0.985205,censored,,117485.0,69.0,0.9994126909818276,-0.0140845070422535,-0.2134831460674157,159.0,3.5150842570431338,1,1,dead,2022-09-23,resilient_or_unproven,0.9928720174777378,0.9757870303449432,0.009559400992744445,critical,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.9952675525212253,,0.9928720174777378,0.9757870303449432,early drawdown stayed high,active-day density stayed low,peak arrived too early,0.9881733028018793,terminal_risk
